school_code,school_name,third_reading
340308,Ashley Academy,0.099
340314,Bolton Elementary,0.369
340320,Brunson Elementary,0.633
340326,Caleb's Creek Elementary,0.622
340334,Cash Elementary,0.5820000000000001
340348,Clemmons Elementary,0.7959999999999999
340351,Cook Literacy Model School,0.212
340354,The Downtown School,0.69
340368,Easton Elementary School,0.19
340376,Forest Park Elementary,0.253
340380,Gibson Elementary,0.33299999999999996
340384,Griffith Elementary,0.402
340390,Hall-Woodward Elementary,0.196
340400,Ibraham Elementary,0.195
340403,Jefferson Elementary,0.7020000000000001
340416,Kernersville Elementary,0.58
340424,Kimberley Park Elementary,0.071
340426,Kimmel Farm Elementary,0.456
340428,Konnoak Elementary,0.377
340430,Diggs-Latham Elementary,0.35600000000000004
340432,Lewisville Elementary,0.863
340440,Meadowlark Elementary,0.8390000000000001
340448,Mineral Springs Elementary,0.405
340453,Moore Magnet Elementary,0.556
340457,Frank Morgan Elementary,0.6859999999999999
340462,North Hills Elementary,0.203
340472,Old Richmond Elementary,0.6579999999999999
340476,Old Town Elementary,0.264
340490,Petree Elementary,0.212
340494,Piney Grove Elementary,0.679
340504,Rural Hall Elementary,0.504
340508,Sedge Garden Elementary,0.573
340512,Sherwood Forest Elementary,0.835
340514,Smith Farm Elementary,0.46399999999999997
340520,South Fork Elementary,0.5429999999999999
340528,Southwest Elementary,0.856
340530,Speas Elementary,0.413
340532,Union Cross Traditional Acad,0.44299999999999995
340536,Vienna Elementary,0.818
340540,Walkertown Elementary,0.46299999999999997
340548,Ward Elementary,0.429
340560,Whitaker Elementary,0.825
